Data,Ato,Cargo,Quantidade,Símbolo,Origem,Destino,Nova Denominação
2026-05-23,Redenominação,Gestor Técnico Contábil,1 (um),DAS-5,-,-,Ouvidor
2026-05-23,Redenominação,Assessor de Apoio ao Gabinete,1 (um),CAA-2,-,-,Assessor de Prestação de Contas
2026-05-23,Redenominação,Ouvidor,1 (um),CAA-2,-,-,Assessor de Apoio ao Gabinete
2026-05-23,Redenominação,Assessor de Apoio à Gestão de Pessoas,1 (um),CAA-2,-,-,Asses-sor de Projetos de Regime Colaborativo
2026-05-26,Transferência,Auxiliar Técnico,2 (dois),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,-
2026-05-28,Redenominação,Assistente Técnico Administrativo,1 (um),CAA-3,-,-,Assistente Técnico de Controle Interno
2026-05-28,Redenominação,Assistente de Diretoria,1 (um),CAA-4,-,-,Assistente de Ouvidoria e Satisfação do Usuário
2026-05-28,Redenominação,Assistente de Diretoria,1 (um),CAA-4,-,-,Assistente de Projetos Institucionais
2026-05-28,Alocação,Assessor,1 (um),CAA-2,-,Secretaria da Casa Civil,-
2026-05-30,Transferência,Auxiliar de Gabinete da Governadora,1 (um),CAA-5,Gabinete da Governadora,Secretaria da Casa Civil,Auxiliar Administrativo
2026-05-30,Redenominação,Coordenador de Vigilância em Saúde da I Regional de Saúde - GERES - Recife,1 (um),CAA-2,-,-,Coordenador da Política de Pessoa com Deficiência
2026-05-30,Transferência,Auxiliar Técnico,1 (um),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,-
2026-05-30,Transferência,Auxiliar Técnico,1 (um),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,-
2026-05-30,Transferência,Auxiliar Técnico,2 (dois),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,-
2026-05-30,Transferência,Auxiliar Técnico,4 (quatro),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,-
2026-06-03,Redenominação,Assistente Técnico Jurídico,1 (um),CAA-3,-,-,Assistente Técnico
2026-06-05,Alocação,Assessor,1 (um),CAA-2,-,Secretaria da Casa Civil,-
2026-06-05,Alocação,-,10 (dez),-,-,Secretaria da Casa Civil,-
2026-06-05,Transferência,Auxiliar Técnico,1 (um),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,-
2026-06-05,Transferência,Auxiliar Técnico,10 (dez),CAA-4,Secretaria de Educação,Secretaria da Casa Civil,-
2026-06-05,Redenominação,Gestor Técnico de Educação Corporativa da EGAPE,01 (um),DAS-5,-,-,Gestor Técnico de Administração e Finanças
2026-06-06,Transferência,Auxiliar de Gabinete da Governadora,1,CAA-5,"Gabinete da Governadora,",Secretaria da Casa Civil,Auxiliar Administrativo
2026-06-06,Redenominação,Gestor Técnico,1 (um),DAS-5,-,-,Gestor de Articulação Governamental
2026-06-11,Alocação,Assessor,1 (um),CAA-2,-,Gabinete da Governadora,-
2026-06-11,Transferência,Apoio de Gerência,1 (um),CAA-4,Secretaria da Mulher,Secretaria da Casa Civil,Auxiliar Técnico
2026-06-11,Redenominação,Gerente de Controle Interno,1 (um),DAS-4,-,-,Gerente Técnico
2026-06-13,Transferência,Assessor Especial,1 (um),DAS-1,Gabinete da Governadora,Secretaria da Casa Civil,-
2026-06-13,Alocação,-,2 (dois),-,-,Secretaria da Casa Civil,-
2026-06-17,Alocação,Assessor Técnico,1 (um),CAA-1,-,Secretaria da Casa Civil,-
2026-06-27,Redenominação,Consultor Técnico,1 (um),DAS-2,-,-,Diretor Executivo
2026-06-27,Transferência,Consultor Técnico,2 (dois),DAS-2,Secretaria de Projetos Estratégicos,Secretaria da Casa Civil,Assessor Especial de Relações Institucionais
2026-06-27,Transferência,Gestor Jurídico de Licitações,1 (um),DAS-5,Secretaria de Saúde,Secretaria da Casa Civil,Gestor de Articulação Governamental
2026-06-27,Transferência,Gestor Técnico de Articulação,1 (um),DAS-5,Secretaria de Saúde,Secretaria da Casa Civil,Gestor de Articulação Governamental
2026-06-27,Transferência,Assistente de Hospital - Otávio de Freitas,1 (um),CAA-3,Secretaria de Saúde,Secretaria da Casa Civil,Assistente Técnico
2026-06-27,Transferência,Assistente de Hospital Regional do Agreste,1 (um),CAA-3,Secretaria de Saúde,Secretaria da Casa Civil,Assistente Técnico
2026-06-27,Transferência,Assistente Jurídico,1 (um),CAA-3,Secretaria de Saúde,Secretaria da Casa Civil,Assistente Técnico
2026-06-27,Transferência,Assistente Técnico de Gestão Estratégica e Coordenação Geral,1 (um),CAA-3,Secretaria de Saúde,Secretaria da Casa Civil,Assistente Técnico
2026-06-27,Transferência,Gestor de Frota,1 (um),DAS-5,Secretaria de Recursos Hídricos e Saneamento,Secretaria da Casa Civil,Gestor de Articulação Governamental
2026-06-27,Transferência,Assistente Técnico de Gestão de Pessoas,1 (um),CAA-3,"Secretaria de Justiça, Direitos Humanos e Prevenção à Violência",Secretaria da Casa Civil,Assistente Técnico
2026-06-27,Transferência,Assistente Técnico,1 (um),CAA-3,Instituto de Atenção à Saúde e Bem-estar dos Servidores do Estado de Pernambuco - IASSEPE,Secretaria da Casa Civil,-
2026-06-27,Transferência,Assistente Técnico,1 (um),CAA-3,Secretaria da Controladoria-Geral do Estado,Secretaria da Casa Civil,-
2026-06-27,Transferência,Assessor III,2 (dois),CAA-3,Vice Governadoria,Secretaria da Casa Civil,Assistente Técnico
2026-06-27,Transferência,Assistente Técnico Financeiro,1 (um),CAA-3,Secretaria de Mobilidade e Infraestrutura,Secretaria da Casa Civil,Assistente Técnico
2026-06-27,Alocação,Secretária Gabinete,2 (dois),CAA-3,-,Secretaria da Casa Civil,-
2026-07-01,Transferência,Assessor Especial,1 (um),DAS-1,"Secretaria de Planejamento, Gestão e Desenvolvimento Regional",Secretaria da Casa Civil,-
2026-07-01,Transferência,Secretário Executivo de Planejamento e Gestão,1 (um),DAS-1,Secretaria da Mulher,Secretaria da Casa Civil,Assessor Especial
2026-07-01,Transferência,Gerente de Formação em Gênero,1 (um),DAS-3,Secretaria da Mulher,Secretaria da Casa Civil,Assessor Especial de Coordenação Estratégica
2026-07-01,Transferência,Gerente Geral de Desapropriações,1 (um),DAS-2,Procuradoria Geral do Estado,Secretaria da Casa Civil,Assessor Especial de Relações Institucionais
2026-07-01,Transferência,Assessor Especial IV,2 (dois),DAS-4,Vice Governadoria,Secretaria da Casa Civil,Assessor Especial de Articulação e Acompanhamento
2026-07-01,Transferência,Assessor Especial,1 (um),DAS-1,Secretaria de Saúde,Secretaria da Casa Civil,Assessor Especial de Coordenação Estratégica
2026-07-01,Transferência,Superintendente de Regulação,1 (um),DAS-3,Secretaria de Projetos Estratégicos,Secretaria da Casa Civil,Assessor Especial de Coordenação Estratégica
2026-07-01,Transferência,Gerente Jurídico,1 (um),DAS-4,Secretaria de Projetos Estratégicos,Secretaria da Casa Civil,Gerente de Apoio Técnico
2026-07-01,Transferência,Secretário Executivo de Mobilidade e Infraestrutura,1 (um),DAS-1,Secretaria de Mobilidade e Infraestrutura,Secretaria da Casa Civil,Assessor Especial
2026-07-01,Transferência,Gerente Financeiro,1 (um),DAS-4,Secretaria de Recursos Hídricos e Saneamento,Secretaria da Casa Civil,Gerente de Apoio Técnico
2026-07-01,Transferência,Gerente de Fiscalização,1 (um),DAS-4,Secretaria de Recursos Hídricos e Saneamento,Secretaria da Casa Civil,Gerente da Setorial Contábil
2026-07-01,Alocação,Gestor de Apoio Técnico,1 (um),DAS-5,-,Secretaria da Casa Civil,-
2026-07-01,Transferência,Gestor de Articulação Institucional,1 (um),DAS-5,"Secretaria de Planejamento, Gestão e Desenvolvimento Regional",Secretaria da Casa Civil,Gestor de Articulação Governamental
2026-07-01,Transferência,Assistente do Núcleo de Ciência de Dados,1 (um),CAA-3,"Secretaria de Planejamento, Gestão e Desenvolvimento Regional",Secretaria da Casa Civil,Assistente Técnico
2026-07-01,Transferência,Gestor Técnico de Apoio Institucional,1 (um),DAS-5,Agência Pernambucana de Águas e Clima - APAC,Secretaria da Casa Civil,Gestor de Articulação Governamental
2026-07-01,Transferência,Gestor Técnico de Fiscalização do PISF/PE,1 (um),DAS-5,Agência Pernambucana de Águas e Clima - APAC,Secretaria da Casa Civil,Gestor de Articulação Governamental
2026-07-01,Transferência,Gestor Técnico de Geoprocessamento do PISF/PE,1 (um),DAS-5,Agência Pernambucana de Águas e Clima - APAC,Secretaria da Casa Civil,Gestor de Articulação Governamental
2026-07-01,Transferência,Gestor Administrativo,1 (um),DAS-5,Secretaria de Administração Penitenciária e Ressocialização,Secretaria da Casa Civil,Gestor de Articulação Governamental
2026-07-01,Transferência,Gestor Técnico,1 (um),DAS-5,Secretaria de Administração Penitenciária e Ressocialização,Secretaria da Casa Civil,Gestor de Articulação Governamental
2026-07-01,Transferência,Secretário de Gabinete,1 (um),CAA-3,Fundação de Aposentadorias e Pensões do Estado de Pernambuco - FUNAPE,Secretaria da Casa Civil,Assistente Técnico
2026-07-01,Transferência,Assistente Técnico da Rede Escolar,1 (um),CAA-3,Secretaria de Educação,Secretaria da Casa Civil,Assistente Técnico
2026-07-01,Transferência,Assistente Técnico do Programa Estadual de Transporte Escolar,1 (um),CAA-3,Secretaria de Educação,Secretaria da Casa Civil,Assistente Técnico
2026-07-01,Transferência,Assistente de Prestação de Contas,1 (um),CAA-3,Secretaria de Saúde,Secretaria da Casa Civil,Assistente Técnico
2026-07-01,Transferência,Chefe de Monitoramento Estratégico,1 (um),CAA-3,Secretaria de Saúde,Secretaria da Casa Civil,Assistente Técnico
2026-07-01,Transferência,Chefe de Saúde Prisional,1 (um),CAA-3,Secretaria de Saúde,Secretaria da Casa Civil,Assistente Técnico
2026-07-01,Transferência,Chefe do Comitê Estadual de Farmácia e Terapêutica,1 (um),CAA-3,Secretaria de Saúde,Secretaria da Casa Civil,Assistente Técnico
2026-07-01,Transferência,Chefe de Ações Farmacêuticas,1 (um),CAA-3,Fundação de Hematologia e Hemoterapia de Pernambuco - HEMOPE,Secretaria da Casa Civil,Assistente Técnico
2026-07-01,Transferência,Assistente da Presidência,1 (um),CAA-3,Agência Estadual de Meio Ambiente - CPRH,Secretaria da Casa Civil,Assistente Técnico
2026-07-01,Transferência,Coordenador de Tecnologia e Ensino à Distância,1 (um),CAA-3,Secretaria de Defesa Social,Secretaria da Casa Civil,Assistente Técnico
2026-07-01,Transferência,Comandante da Academia Bombeiro Militar dos Guararapes,1 (um),CAA-3,Secretaria de Defesa Social,Secretaria da Casa Civil,Assistente Técnico
2026-07-01,Transferência,Secretário de Gabinete da Chefi a de Polícia Civil,1 (um),CAA-3,Secretaria de Defesa Social,Secretaria da Casa Civil,Assistente Técnico
2026-07-01,Transferência,"Coordenador de Pós-Graduação, Pesquisa e Extensão em Saúde",1 (um),CAA-3,Secretaria de Defesa Social,Secretaria da Casa Civil,Assistente Técnico
2026-07-02,Alocação,Assessor Especial de Articulação e Acompanhamento,1 (um),DAS-4,-,Secretaria da Casa Civil,-
2026-07-02,Transferência,Gestor Técnico de Apoio à Fase Preparatória de Contratações Públicas,1 (um),DAS-5,Secretaria de Administração,Conselho Estadual de Defesa dos Direitos da Criança e do Adolescente -CEDCA,Gestor Técnico
2026-07-02,Transferência,Assessor Jurídico,1 (um),CAA-2,"Secretaria de Justiça, Direitos Humanos e Prevenção à Violência",Secretaria da Casa Civil,Assessor
2026-07-02,Transferência,Assistente de Apoio,1 (um),CAA-5,"Secretaria de Justiça, Direitos Humanos e Prevenção à Violência",Secretaria da Casa Civil,Auxiliar Administrativo
2026-07-02,Transferência,Assistente do Núcleo de Apoio Administrativo,1 (um),CAA-4,Secretaria da Fazenda,Secretaria da Casa Civil,Auxiliar Técnico
2026-07-02,Transferência,Assistente de Gabinete,1 (um),CAA-4,Secretaria da Fazenda,Secretaria da Casa Civil,Auxiliar Técnico
2026-07-02,Transferência,Auxiliar de Gabinete,1 (um),CAA-5,Secretaria da Fazenda,Secretaria da Casa Civil,Auxiliar Administrativo
2026-07-02,Transferência,Auxiliar Técnico de TI do Programa Expresso Cidadão,1 (um),CAA-4,Secretaria de Administração,Secretaria da Casa Civil,Auxiliar Técnico
2026-07-02,Transferência,Auxiliar de Apoio Operacional de Pagamento,1 (um),CAA-5,Secretaria de Administração,Secretaria da Casa Civil,-
2026-07-02,Transferência,Assistente de Operação,1 (um),CAA-4,Instituto de Atenção à Saúde e Bem-estar dos Servidores do Estado de Pernambuco - IASSEPE,Secretaria da Casa Civil,Auxiliar Técnico
2026-07-02,Transferência,Assessor de Comunicação,1 (um),CAA-2,Agência Estadual de Tecnologia da Informação,Secretaria da Casa Civil,Assessor
2026-07-02,Transferência,Coordenador de Patrimônio e Logística,1 (um),CAA-2,Agência Estadual de Tecnologia da Informação,Secretaria da Casa Civil,Assessor
2026-07-02,Transferência,Assistente Técnico de CT&I,1 (um),CAA-4,"Secretaria de Ciência, Tecnologia e Inovação",Secretaria da Casa Civil,Auxiliar Técnico
2026-07-02,Transferência,Coordenador Geral de Programas e Projetos da Rede Escolar,1 (um),CAA-2,Secretaria de Educação,Secretaria da Casa Civil,Assessor
2026-07-02,Transferência,Auxiliar de Apoio aos Municípios,1 (um),CAA-5,Secretaria de Educação,Secretaria da Casa Civil,Auxiliar Administrativo
2026-07-03,Transferência,Auxiliar de Gabinete,1 (um),CAA-5,Secretaria de Educação,Secretaria da Casa Civil,Auxiliar Administrativo
2026-07-03,Transferência,Auxiliar Técnico de Gestão Educacional,1 (um),CAA-5,Secretaria de Educação,Secretaria da Casa Civil,Auxiliar Administrativo
2026-07-03,Transferência,Assessor IV,1 (um),CAA-4,Vice-Governadoria,Secretaria da Casa Civil,Auxiliar Técnico
2026-07-03,Transferência,Assessor V,2 (dois),CAA-5,Vice-Governadoria,Secretaria da Casa Civil,Auxiliar Administrativo
2026-07-03,Transferência,Assessor de Assistência Farmacêutica,1 (um),CAA-2,Secretaria de Saúde,Secretaria da Casa Civil,Assessor
2026-07-03,Transferência,Assessor Técnico de Gerência de Administração e Finanças - Getúlio Vargas,1 (um),CAA-2,Secretaria de Saúde,Secretaria da Casa Civil,Assessor
2026-07-03,Transferência,Coordenador Técnico do Programa Mãe Coruja das GERES,1 (um),CAA-2,Secretaria de Saúde,Secretaria da Casa Civil,Assessor
2026-07-03,Transferência,Apoio de Promoção e Prevenção em Saúde,1 (um),CAA-4,Secretaria de Saúde,Secretaria da Casa Civil,Auxiliar Técnico
2026-07-03,Transferência,Apoio de Gestão,2 (dois),CAA-5,Secretaria de Cultura,Secretaria da Casa Civil,Auxiliar Administrativo
2026-07-03,Transferência,Ouvidor,1 (um),CAA-4,Fundação do Patrimônio Histórico e Artístico de Pernambuco - FUNDARPE,Secretaria da Casa Civil,Auxiliar Técnico
2026-07-03,Transferência,Assistente da Comissão Permanente de Licitação,1 (um),CAA-5,Fundação do Patrimônio Histórico e Artístico de Pernambuco - FUNDARPE,Secretaria da Casa Civil,Auxiliar Administrativo
2026-07-03,Transferência,Auxiliar Administrativo,1 (um),CAA-5,Secretaria da Mulher,Secretaria da Casa Civil,-
2026-07-03,Transferência,Assistente de Diretoria,1 (um),CAA-4,Agência de Regulação de Pernambuco - ARPE,Secretaria da Casa Civil,Auxiliar Técnico
2026-07-03,Transferência,Auxiliar Administrativo,2 (dois),CAA-5,Agência de Regulação de Pernambuco - ARPE,Secretaria da Casa Civil,-
2026-07-03,Transferência,Assessor Contábil,1 (um),CAA-2,Secretaria de Mobilidade e Infraestrutura,Secretaria da Casa Civil,Assessor
2026-07-03,Alocação,Assessor Técnico,1 (um),CAA-2,-,Secretaria da Casa Civil,-
2026-07-08,Transferência,Assessor Especial de Articulação e Acompanhamento,1 (um),DAS-4,Secretaria da Casa Civil,Secretaria de Desenvolvimento Urbano e Habitação,Gerente de RH
2026-07-11,Redenominação,Coordenador de Vigilância em Saúde da VI Regional de Saúde - GERES - Arcoverde,1 (um),CAA-2,-,-,Coordenador Executivo do Conselho Estadual de Saúde
2026-07-14,Redenominação,Coordenador de Relacionamento Interno e com a Imprensa,1 (um),CAA-1,-,-,Coordenador de Engenharia e Manutenção
2026-07-14,Redenominação,Assistente Técnico de Transporte,1 (um),CAA-3,-,-,Assistente Técnico
2026-07-16,Alocação,Assessor Especial,1 (um),DAS-1,-,Secretaria da Casa Civil,-
2026-07-16,Alocação,-,1 (uma),-,-,Secretaria de Saúde,-
2026-07-16,Redenominação,Coordenador da Política de Oncologia,1 (um),CAA-2,-,-,Assessor
2026-07-21,Transferência,Coordenador Técnico,1 (um),CAA-2,"Secretaria de Assistência Social, Combate à Fome e Políticas sobre Drogas",Secretaria da Casa Civil,Assessor
2026-07-21,Transferência,Gestor Técnico de Gerência de Serviços Administrativos,1 (um),DAS-5,Secretaria de Educação,Secretaria da Casa Civil,Gestor Técnico
2026-07-21,Alocação,-,1 (uma),-,-,Secretaria de Educação,-
2026-07-21,Transferência,Assessor Especial de Coordenação Estratégica,2 (dois),DAS-3,Secretaria da Casa Civil,Secretaria de Comunicação,Superintendente Técnico
